,Entity,Per capita mismanaged plastic waste,Per capita plastic waste (kg/person/day),GDP,Continent
1,Afghanistan,NA,NA,1614.25500126115,NA
2,Africa,NA,NA,NA,NA
3,Albanien,0.032,0.069,9927.18184117512,Europa
4,Algerien,0.086,0.144,12870.6026985154,Afrika
5,American Samoa,NA,NA,NA,NA
6,Andorra,NA,NA,NA,NA
7,Angola,0.045,0.062,5897.68284059848,Afrika
8,Anguilla,0.01,0.252,NA,NA
9,Antigua und Barbuda,0.051,0.66,19212.7201307541,Nordamerika
10,Arab World,NA,NA,14354.3799160635,NA
11,Argentinien,0.026,0.183,18712.0630773436,Südamerika
12,Armenia,NA,NA,6702.84800627941,NA
13,Aruba,0.007,0.252,NA,NA
14,Asia,NA,NA,NA,NA
15,Australien,0.002,0.112,41464.0400696359,Ozeanien
16,Austria,NA,NA,43336.1978527647,NA
17,Azerbaijan,NA,NA,15950.2574578783,NA
18,Bahamas,0.011,0.39,29221.9911816149,Nordamerika
19,Bahrain,0.016,0.132,40570.5356928307,Asien
20,Bangladesch,0.03,0.034,2442.72888765696,Asien
21,Barbados,0.034,0.57,16417.9624523108,Nordamerika
22,Belarus,NA,NA,16235.1714534334,NA
23,Belgien,0.002,0.08,41085.9189401366,Europa
24,Belize,0.053,0.172,7876.80958597644,Südamerika
25,Benin,0.036,0.043,1818.77846075906,Afrika
26,Bermuda,0.005,0.252,56395.0078003539,Nordamerika
27,Bhutan,NA,NA,6419.67559908811,NA
28,Bolivia,NA,NA,5407.47022023569,NA
29,Bonaire Sint Eustatius and Saba,NA,NA,NA,NA
30,Bosnien und Herzegowina,0.061,0.144,9720.34217718095,Europa
31,Botswana,NA,NA,13334.1987970857,NA
32,Brasilien,0.017,0.165,14537.5671930903,Südamerika
33,British Virgin Islands,0.005,0.252,NA,NA
34,Brunei,0.001,0.026,80552.8644713138,Asien
35,Bulgarien,0.051,0.154,15283.2914751664,Europa
36,Burkina Faso,NA,NA,1423.37770598198,NA
37,Burundi,NA,NA,763.831930213843,NA
38,Kambodscha,0.058,0.066,2522.92682475402,Afrika
39,Kamerun,0.038,0.046,2929.82911281962,Afrika
40,Kanada,0.002,0.093,40699.3551293841,Nordamerika
41,Kap Verde,0.049,0.065,5828.24158804338,Afrika
42,Caribbean small states,NA,NA,14540.0796092736,NA
43,Cayman Islands,0.005,0.252,NA,NA
44,Central African Republic,NA,NA,881.144550791663,NA
45,Central Europe and the Baltics,NA,NA,21378.6133877263,NA
46,Chad,NA,NA,1925.19511802507,NA
47,Channel Islands,0.005,0.252,NA,NA
